,id_x,mergecol_x,dummy,id_y,mergecol_y,distance
469169,544,bugsy's diner3555 las vegas blvd. slas vegas702/733-3111coffee shops/diners,1,561,ralph's diner3000 las vegas blvd. slas vegas702/732-6330coffee shops/diners,13
481688,559,mikado3400 las vegas blvd. slas vegas702/791-7111asian,1,135,chin's3200 las vegas blvd. slas vegas702/733-8899asian,13
482095,559,mikado3400 las vegas blvd. slas vegas702/791-7111asian,1,542,bistro3400 las vegas blvd. slas vegas702/791-7111continental,13
483823,561,ralph's diner3000 las vegas blvd. slas vegas702/732-6330coffee shops/diners,1,544,bugsy's diner3555 las vegas blvd. slas vegas702/733-3111coffee shops/diners,13
488172,566,22232223 market st.san francisco415/431-0692american,1,578,carta1772 market st.san francisco415/863-3516american,16
498516,578,carta1772 market st.san francisco415/863-3516american,1,566,22232223 market st.san francisco415/431-0692american,16
498562,578,carta1772 market st.san francisco415/863-3516american,1,613,one market1 market st.san francisco415/777-5577american,16
527870,613,one market1 market st.san francisco415/777-5577american,1,578,carta1772 market st.san francisco415/863-3516american,16
533307,619,perry's1944 union st.san francisco415/922-9022american,1,838,doidge's2217 union st.san francisco415-921-2149american,16
615366,715,arcadia21 e. 62nd st.new york city212-223-2900american (new),1,48,21 club21 w. 52nd st.new york city212-582-7200american (new),14
620562,721,darbar44 w. 56th st.new york city212-432-7227indian,1,66,dawat210 e. 58th st.new york city212-355-7555indian,14
630750,732,kiev117 second ave.new york city212-674-4040ukrainian,1,762,veselka144 second ave.new york city212-228-9682ukrainian,15
642817,746,palm837 second ave.new york city212-687-2953steakhouses,1,747,palm too840 second ave.new york city212-697-5198steakhouses,11
643679,747,palm too840 second ave.new york city212-697-5198steakhouses,1,746,palm837 second ave.new york city212-687-2953steakhouses,11
656610,762,veselka144 second ave.new york city212-228-9682ukrainian,1,732,kiev117 second ave.new york city212-674-4040ukrainian,15
669823,778,moongate3400 las vegas blvd. s.las vegas702-791-7352chinese,1,136,chin's3200 las vegas blvd. s.las vegas702-733-8899chinese,14
722085,838,doidge's2217 union st.san francisco415-921-2149american,1,619,perry's1944 union st.san francisco415/922-9022american,16
